cluster_n,new_tag
0,Simulation
1,Government
2,War and Military History
3,Strategy
4,Strategy
5,Strategy
6,Indie RPG
7,Role-Playing Games
8,Role-Playing Strategy
9,Turn-Based Games
10,Strategy
11,Maritime
12,Tabletop Wargaming
13,Action Sports
14,Winter Sports
15,Retro Revivals
16,Chronal Abilities
17,Shooter
18,Action RPG
19,Roguelike
20,Puzzle
21,Perspective
22,Fictional Characters
23,Family Friendly Action
24,Immersive Fantasy
25,Simulation
26,Strategy
27,Wild West
28,Card Games
29,Online Multiplayer Games
30,Supernatural
31,Dark Fiction
32,Action-Thriller
33,Secret Societies
34,Pets
35,Wildlife Adventure
36,Outdoors
37,Maritime
38,Humor
39,Black Humor
40,Language
41,Simulation Games
42,Simulation Accessories
43,Video Game Elements
44,Hardcore Sci-Fi
45,Retro Gaming
46,PC Enthusiast
47,Sports
48,Contemporary Music
49,Film
50,Multimedia
51,Alternative_Funding
52,Sports
53,Sports
54,Social Entertainment
55,Multiplayer
56,Combat
57,Fighting Sports
58,Action Combat Game
59,Fantasy Action
60,Audio Creativity
61,Virtual Reality
62,Rural Industries
63,Heartwarming
64,Infrastructure
65,Game Development Tools
66,Time Manipulation
67,Space Exploration
68,Learning
69,Cybersecurity
70,Simulation
71,Industrial Operations
72,Casual
73,Gaming
74,Vehicles
75,Bicycling
76,Off-Road Vehicles
77,Vehicles
78,Racing Action
79,Experimental
80,Thought-Provoking
81,Storytelling
82,Serious
83,Dark Fantasy
84,Crime
85,Adventure
86,Digital Media Creation
87,Computer Graphics & Development
88,Humor
89,Whimsical
90,Illustrative
91,Theoretical
92,Action
93,Action-Adventure
94,Platforming
95,Retro Style
96,Vintage Era
97,Action
98,Challenging Experience
99,Action-Adventure
100,Combat
101,Gaming
102,Fantasy
103,Roguelike
104,Roguelike Games
105,Shooter
106,Action Arcade
107,Futurism
108,Science Fiction
109,Machines
110,Fun
111,Adventure
112,Horror Fiction
113,Mature
114,Action
115,Immersive
116,Action RPG
117,Shooter Game
118,Apocalypse Horror
119,Survival Craft Games
120,Exploration
121,Gaming
122,Social Gaming
123,Multiplayer Local Modes
124,Dynamic Storytelling
125,Otome
126,Visual Novel
127,Explicit Content
